BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000014	BGC0000014	Polyangium cellulosum strain So ce10 histidine kinase response regulator gene, partial cds; hypothetical protein genes, complete cds; ambruticin gene cluster, complete sequence; and hypothetical protein genes, complete cds	NRPS-like.T1PKS	PKS-NRP_Hybrids	Sorangium cellulosum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000020	BGC0000020	Actinosynnema pretiosum subsp. auranticum maytansinoid antitumor agent ansamitocin biosynthetic gene cluster I, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Actinosynnema pretiosum subsp. auranticum	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema
BGC0000026	BGC0000026	Streptomyces viridochromogenes Tue57 Avilamycin A biosynthetic gene cluster, complete sequence	T1PKS.PKS-like.oligosaccharide	Others	Streptomyces viridochromogenes Tue57	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000033	BGC0000033	Micromonospora echinospora calicheamicin biosynthetic locus, complete sequence	T1PKS.PKS-like.oligosaccharide	Others	Micromonospora echinospora	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
BGC0000034	BGC0000034	Streptomyces sp. FR-008 heptaene macrolide complex synthesis gene cluster, complete sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces sp. FR-008	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000036	BGC0000036	Streptomyces antibioticus acetyltransferase gene, partial cds; hypothetical protein and Orf0 genes, complete cds; chlorothricin biosynthetic gene cluster, complete sequence; ChlC7, ChlB1, ChlB4, ChlB2, ChlB3, ChlH, ChlC5, ChlC4, ChlC3, ChlI, ChlJ, ChlF2, ChlK, ChlC2, ChlC1, ChlC6, ChlL, peptidase M20, putative helicase, and ankyrin genes, complete cds; tankyrase1-binding protein gene, partial cds; and unknown gene	T1PKS.PKS-like	PKSother	Streptomyces antibioticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000064	BGC0000064	Gibberella fujikuroi FUSS (fusA) gene, complete cds	T1PKS.NRPS	PKS-NRP_Hybrids	Fusarium verticillioides	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi species complex
BGC0000065	BGC0000065	Streptomyces galbus strain KCCM 41354 transcriptional regulator, dehydrogenase, oxidoreductase, hydrolase, DNA binding protein, and O-methyltransferase genes, complete cds; methoxymalonyl-ACP biosynthesis gene locus, complete sequence; monooxygenase, beta-ketoacyl synthases, acyltransferase, oxidoreductase, transcriptional regulator, dehydratase, transport protein, dehydratase, transcriptional regulators, lipoprotein, peptidase, fatty acid desaturase, and oxidoreductase genes, complete cds; and unknown genes	PKS-like	PKSother	Streptomyces galbus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000066	BGC0000066	Streptomyces hygroscopicus strain NRRL 3602 geldanamycin biosynthesis gene cluster, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000067	BGC0000067	Streptomyces hygroscopicus subsp. duamyceticus strain JCM4427 geldanamycin biosynthesis gene cluster, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces hygroscopicus subsp. duamyceticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000074	BGC0000074	Streptomyces hygroscopicus strain AM 3672 herbimycin polyketide biosynthetic gene cluster, complete sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces hygroscopicus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000075	BGC0000075	Streptomyces sp. LZ35 hygrocin biosynthetic gene cluster, complete sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces sp. LZ35	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000083	BGC0000083	Streptomyces amphibiosporus strain ATCC 53964 lactimidomycin gene cluster, complete sequence	transAT-PKS	PKSother	Streptomyces amphibiosporus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000090	BGC0000090	Actinosynnema pretiosum subsp. pretiosum strain ATCC 31280 macbecin biosynthesis gene cluster, complete sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Actinosynnema pretiosum subsp. pretiosum	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema
BGC0000091	BGC0000091	Streptomyces sp. CNQ-617 marineosin biosynthetic gene cluster, complete sequence	NRPS-like.T1PKS.prodigiosin	PKS-NRP_Hybrids	Streptomyces sp. CNQ-617	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000106	BGC0000106	Streptomyces sp. CS naphthomycin biosynthetic gene cluster, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces sp. CS	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000108	BGC0000108	Streptomyces chattanoogensis strain L10 natamycin biosynthetic gene cluster, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces chattanoogensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000118	BGC0000118	Streptomyces pactum pactamycin biosynthetic gene cluster, partial and complete cds, strain: NBRC 13433	T1PKS.PKS-like.arylpolyene	Others	Streptomyces pactum	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000119	BGC0000119	Streptomyces pactum strain ATCC 27456 pactamycin biosynthetic gene cluster, partial sequence	T1PKS.PKS-like.arylpolyene	Others	Streptomyces pactum	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000122	BGC0000122	Nannocystis pusilla strain B150 phenylnannolone gene cluster, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Nannocystis pusilla	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Nannocystineae,Nannocystaceae,Nannocystis
BGC0000125	BGC0000125	Streptomyces natalensis pimaricin biosynthetic gene cluster	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces natalensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000136	BGC0000136	Amycolatopsis mediterranei rifamycin biosynthetic gene cluster	NRPS-like.T1PKS	PKS-NRP_Hybrids	Amycolatopsis mediterranei S699	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
BGC0000137	BGC0000137	Salinispora arenicola CNS-205, complete genome	NRPS-like.T1PKS	PKS-NRP_Hybrids	Salinispora arenicola CNS-205	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000138	BGC0000138	Streptomyces diastaticus polyketide rim gene cluster, partial sequence	NRPS-like.T1PKS	PKS-NRP_Hybrids	Streptomyces diastaticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces diastaticus group
BGC0000145	BGC0000145	Salinispora tropica strain CNB-476 salinosporamide A biosynthetic gene cluster, partial sequence	NRPS-like.T1PKS.transAT-PKS-like	PKS-NRP_Hybrids	Salinispora tropica	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000150	BGC0000150	Salinispora tropica CNB-440, complete genome	NRPS-like.T1PKS	PKS-NRP_Hybrids	Salinispora tropica CNB-440	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000165	BGC0000165	Dactylosporangium aurantiacum subsp. hamdenensis strain NRRL 18085 tiacumicin biosynthesis gene cluster, genomic sequence	T1PKS.PKS-like	PKSother	Dactylosporangium aurantiacum subsp. hamdenensis	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium
BGC0000171	BGC0000171	Streptomyces himastatinicus ATCC 53653 9-methylstreptimidone biosynthesis gene cluster	transAT-PKS	PKSother	Streptomyces himastatinicus ATCC 53653	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000172	BGC0000172	Brevibacillus laterosporus PE36 PE_F_(paired)_contig_20, whole genome shotgun sequence	transAT-PKS	PKSother	Brevibacillus laterosporus PE36	Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus
BGC0000173	BGC0000173	Burkholderia gladioli strain DMSZ11318 putative regulator gene, partial cds; putative regulator gene, complete cds; and bongkrekic acid biosynthentic gene cluster, partial sequence	PKS-like.T3PKS.transAT-PKS	PKSother	Burkholderia gladioli	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
BGC0000174	BGC0000174	Candidatus Endobugula sertula isolate DEEP bryostatin ABCDX gene cluster, complete sequence	transAT-PKS-like	PKSother	Candidatus Endobugula sertula	Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Candidatus Endobugula
BGC0000175	BGC0000175	Streptomyces sp. YIM 56141 hypothetical protein genes, complete cds; cycloheximide biosynthetic gene cluster, complete sequence; and hypothetical protein genes, complete cds	NRPS-like.lanthipeptide-class-iv.transAT-PKS	Others	Streptomyces sp. YIM 56141	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000176	BGC0000176	Bacillus amyloliquefaciens dif gene cluster directing synthesis of difficidin/oxydifficidin, strain FZB42	transAT-PKS	PKSother	Bacillus velezensis FZB42	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens group
BGC0000177	BGC0000177	Streptomyces platensis subsp. rosaceus strain NRRL 18993 dorrigocin/migrastatin gene cluster, complete sequence	transAT-PKS	PKSother	Streptomyces platensis subsp. rosaceus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000178	BGC0000178	Chitinophaga sancti major facilitator superfamily protein gene, complete cds; and biosynthesis gene cluster, complete sequence	NRPS-like.PKS-like.T3PKS.transAT-PKS	PKS-NRP_Hybrids	Chitinophaga sancti	Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga
BGC0000179	BGC0000179	Sorangium cellulosum 'So ce 56' complete genome	transAT-PKS	PKSother	Sorangium cellulosum So ce56	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000180	BGC0000180	Legionella parisiensis strain ATCC 35299 lgl gene cluster, complete sequence	NRPS-like.transAT-PKS-like	PKS-NRP_Hybrids	Legionella parisiensis	Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
BGC0000181	BGC0000181	Bacillus amyloliquefaciens pks2 gene cluster, strain FZB42	transAT-PKS	PKSother	Bacillus velezensis FZB42	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens group
BGC0000182	BGC0000182	Pseudomonas fluorescens NCIMB 10586 mupirocin biosynthetic gene cluster	PKS-like.hserlactone.transAT-PKS	Others	Pseudomonas fluorescens	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000184	BGC0000184	Sorangium cellulosum strain So ce12 sorangicin gene cluster, complete sequence	transAT-PKS	PKSother	Sorangium cellulosum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000185	BGC0000185	Teredinibacter turnerae T7901, complete genome	transAT-PKS	PKSother	Teredinibacter turnerae T7901	Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Teredinibacter
