#BGC Name	Family Number
scaffold_113.region001	2503
scaffold_114.region001	2504
scaffold_125.region001	2507
scaffold_18.region001	2514
scaffold_21.region001	2514
scaffold_20.region001	2517
scaffold_24.region001	2517
scaffold_26.region001	2517
scaffold_110.region001	2522
scaffold_23.region001	2522
scaffold_25.region001	2522
scaffold_36.region001	2522
scaffold_50.region001	2522
scaffold_56.region001	2522
scaffold_27.region001	2524
scaffold_1.region002	2525
scaffold_2.region001	2525
scaffold_3.region001	2525
scaffold_31.region001	2527
scaffold_6.region001	2527
scaffold_7.region001	2527
scaffold_34.region001	2528
scaffold_39.region001	2531
scaffold_5.region001	2533
scaffold_55.region001	2536
scaffold_91.region001	2544
scaffold_96.region001	2545
