BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000001	BGC0000001	Verrucosispora maris AB-18-032 protein methyltransferase (orfP), putative hydrolase, pathway-specific SARP activator (abyR), cytochrome P450 (abyX), LuxR family transcriptional regulator (abyH), pathway-specific SARP activator (abyI), YD repeat protein (abyK), 3-oxoacyl-ACP synthase III (abyA1), phosphatase and glyceryl transferase (abyA2), acyl-carrier protein (abyA3), pyruvate/2-oxoglutarate dehydrogenase (abyA4), AbyA5 (abyA5), type 1 polyketide synthase (abyB1), type 1 polyketide synthase (abyB2), type 1 polyketide synthase (abyB3), TetR regulatory protein (abyC), EmrB/QacA drug resistance transporter (abyD), luciferase/monooxygenase (abyE), BC transporter oligopeptide binding protein (abyF1), ABC transporter oligopeptide permease (abyF2), binding-protein dependent ABC transporter (abyF3), ATP-binding ABC peptide transporter (abyF4), cytochrome P450 (abyV), alcohol dehydrogenase (abyW), NAD(P)H-depedent FMN-reductase (abyZ), type II thioesterase (abyT), Zn-dependent alcohol dehydrogenase (orfU), and TetR transcriptional regulator (orfS) genes, complete cds	T1PKS	PKSI	Micromonospora maris AB-18-032	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
BGC0000002	BGC0000002	Kutzneria albida DSM 43870, complete genome	T1PKS.oligosaccharide	Others	Kutzneria albida DSM 43870	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kutzneria
BGC0000003	BGC0000003	Alternaria alternata AF-toxin biosynthesis gene cluster (Aft9-1, Aft10-1, Aft11-1, Aft12-1, AftR-2, Aft3-2), complete cds	T1PKS	PKSI	Alternaria alternata	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Alternaria,Alternaria alternata complex
BGC0000004	BGC0000004	Aspergillus oryzae DNA, aflatoxin biosynthesis gene cluster, complete sequence, strain: RIB40	T1PKS	PKSI	Aspergillus oryzae	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0000006	BGC0000006	Aspergillus flavus isolate AF13 aflatoxin biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Aspergillus flavus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0000007	BGC0000007	Aspergillus flavus isolate BN008 aflatoxin biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Aspergillus flavus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0000008	BGC0000008	Aspergillus flavus isolate AF70 aflatoxin biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Aspergillus flavus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0000009	BGC0000009	Aspergillus nomius isolate AN13137 aflatoxin biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Aspergillus nomiae	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus
BGC0000010	BGC0000010	Aspergillus flavus isolate AF36 aflatoxin biosynthesis gene cluster, complete sequence		Others	Aspergillus flavus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0000011	BGC0000011	Aspergillus ochraceoroseus strain SRRC 1432 aflatoxin/sterigmatocystin gene cluster, complete sequence	T1PKS	PKSI	Aspergillus ochraceoroseus	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Nidulantes
